시도명,시군구명,읍면동명,삭제일자
경기도,시흥군,군자면,1988-04-23
경기도,시흥군,군자면,1988-04-23
경기도,시흥군,군자면,1988-04-23
경기도,시흥군,군자면,1988-04-23
경기도,시흥군,군자면,1988-04-23
경기도,시흥군,군자면,1988-04-23
경기도,시흥군,군자면,1988-04-23
경기도,시흥군,군자면,1988-12-31
경기도,시흥군,군자면,1988-12-31
경기도,시흥군,군자면,1988-12-31
경기도,시흥군,군자면,1988-12-31
경기도,시흥군,군자면,1988-12-31
경기도,시흥군,군자면,1988-12-31
경기도,시흥군,군자면,1988-12-31
경기도,파주군,,1996-03-01
경기도,파주군,주내읍,1988-04-23
경기도,파주군,주내읍,1988-04-23
경기도,파주군,주내읍,1988-04-23
경기도,파주군,주내읍,1988-04-23
경기도,파주군,주내읍,1988-04-23
경기도,파주군,주내읍,1988-04-23
경기도,파주군,주내읍,1988-04-23
경기도,파주군,주내읍,1988-04-23
경기도,파주군,주내면,1988-04-23
경기도,파주군,주내면,1988-04-23
경기도,파주군,주내면,1988-04-23
경기도,파주군,주내면,1988-04-23
경기도,파주군,주내면,1988-04-23
경기도,파주군,주내면,1988-04-23
경기도,파주군,주내면,1988-04-23
경기도,파주군,주내면,1988-04-23
경기도,파주군,아동면,1988-04-23
경기도,파주군,아동면,1988-04-23
경기도,파주군,아동면,1988-04-23
경기도,파주군,아동면,1988-04-23
경기도,파주군,아동면,1988-04-23
경기도,파주군,아동면,1988-04-23
경기도,파주군,아동면,1988-04-23
경기도,파주군,임진면,1988-04-23
경기도,파주군,임진면,1988-04-23
경기도,파주군,임진면,1988-04-23
경기도,파주군,임진면,1988-04-23
경기도,파주군,임진면,1988-04-23
경기도,파주군,임진면,1988-04-23
경기도,파주군,임진면,1988-04-23
경기도,파주군,임진면,1988-04-23
경기도,파주군,임진면,1988-04-23
경기도,파주군,임진면,1988-04-23
경기도,파주군,임진면,1988-04-23
경기도,파주군,임진면,1988-04-23
경기도,파주군,임진면,1988-04-23
경기도,파주군,임진면,1988-04-23
경기도,파주군,임진면,1988-04-23
경기도,파주군,임진면,1988-04-23
경기도,파주군,임진면,1988-04-23
경기도,파주군,금촌읍,1996-03-01
경기도,파주군,금촌읍,1996-03-01
경기도,파주군,금촌읍,1996-03-01
경기도,파주군,금촌읍,1996-03-01
경기도,파주군,금촌읍,1996-03-01
경기도,파주군,금촌읍,1996-03-01
경기도,파주군,금촌읍,1996-03-01
경기도,파주군,문산읍,1996-03-01
경기도,파주군,문산읍,1996-03-01
경기도,파주군,문산읍,1996-03-01
경기도,파주군,문산읍,1996-03-01
경기도,파주군,문산읍,1996-03-01
경기도,파주군,문산읍,1996-03-01
경기도,파주군,문산읍,1996-03-01
경기도,파주군,문산읍,1996-03-01
경기도,파주군,문산읍,1996-03-01
경기도,파주군,문산읍,1996-03-01
경기도,파주군,문산읍,1996-03-01
경기도,파주군,파주읍,1996-03-01
경기도,파주군,파주읍,1996-03-01
경기도,파주군,파주읍,1996-03-01
경기도,파주군,파주읍,1996-03-01
경기도,파주군,파주읍,1996-03-01
경기도,안성군,안성읍,1988-09-30
경기도,안성군,안성읍,1988-09-30
경기도,안성군,안성읍,1988-09-30
경기도,안성군,안성읍,1988-09-30
경기도,안성군,안성읍,1988-09-30
경기도,안성군,안성읍,1988-09-30
경기도,안성군,안성읍,1988-09-30
경기도,안성군,안성읍,1988-09-30
경기도,안성군,안성읍,1988-09-30
경기도,안성군,안성읍,1988-09-30
경기도,안성군,안성읍,1988-09-30
경기도,안성군,안성읍,1988-09-30
경기도,안성군,안성읍,1988-09-30
경기도,안성군,안성읍,1988-09-30
경기도,안성군,안성읍,1988-09-30
